no_penalty,75_perc_penalty,85_perc_penalty,95_perc_penalty,geoid,ua_name
1,1.773229167,1.82125,1.843541667,21820,"Fairbanks, AK"
1,1.666770833,1.7515625,1.836041667,40340,"Rochester, MN"
1,1.742395833,1.804583333,1.837708333,20260,"Duluth, MN-WI"
1,1.5546875,1.662083333,1.837708333,24500,"Great Falls, MT"
1,1.723645833,1.792083333,1.836041667,41060,"St. Cloud, MN"
1,1.5325,1.6959375,1.811875,24020,"Glens Falls, NY"
1,1.548854167,1.622604167,1.746979167,24540,"Greeley, CO"
1,1.406354167,1.540625,1.740520833,45460,"Terre Haute, IN"
1,1.603333333,1.715,1.828333333,31540,"Madison, WI"
1,1.718020833,1.78375,1.830625,11260,"Anchorage, AK"
1,1.6015625,1.705208333,1.818125,29100,"La Crosse-Onalaska, WI-MN"
1,1.671354167,1.766666667,1.836458333,20740,"Eau Claire, WI"
1,1.705208333,1.79625,1.843333333,22020,"Fargo, ND-MN"
1,1.6015625,1.726041667,1.822291667,47940,"Waterloo-Cedar Falls, IA"
1,1.6434375,1.751979167,1.834166667,13900,"Bismarck, ND"
1,1.635416667,1.726354167,1.808541667,20220,"Dubuque, IA"
1,1.385833333,1.551666667,1.7265625,25500,"Harrisonburg, VA"
1,1.385833333,1.551666667,1.7265625,44420,"Staunton, VA"
1,1.636979167,1.745416667,1.83375,43620,"Sioux Falls, SD"
1,1.527083333,1.648958333,1.756458333,49620,"York-Hanover, PA"
1,1.574479167,1.7265625,1.820208333,16300,"Cedar Rapids, IA"
1,1.552083333,1.687395833,1.7775,31900,"Mansfield, OH"
1,1.608333333,1.718020833,1.817916667,40420,"Rockford, IL"
1,1.516145833,1.628645833,1.758541667,14010,"Bloomington, IL"
1,1.683854167,1.765,1.83375,24220,"Grand Forks, ND-MN"
1,1.440625,1.544895833,1.7275,34060,"Morgantown, WV"
1,1.539583333,1.683854167,1.794166667,43100,"Sheboygan, WI"
1,1.530833333,1.631458333,1.79625,22660,"Fort Collins, CO"
1,1.581979167,1.6603125,1.784791667,16220,"Casper, WY"
1,1.594791667,1.7775,1.828958333,22540,"Fond du Lac, WI"
1,1.594791667,1.7775,1.828958333,36780,"Oshkosh-Neenah, WI"
1,1.671041667,1.775416667,1.830625,33460,"Minneapolis-St. Paul-Bloomington, MN-WI"
1,1.6015625,1.688125,1.778125,48060,"Watertown-Fort Drum, NY"
1,1.565104167,1.664270833,1.79,30340,"Lewiston-Auburn, ME"
1,1.594791667,1.692395833,1.789270833,15540,"Burlington-South Burlington, VT"
1,1.492708333,1.662395833,1.765,19180,"Danville, IL"
1,1.492708333,1.662395833,1.765,16580,"Champaign-Urbana, IL"
1,1.434375,1.6015625,1.776145833,16980,"Chicago-Naperville-Elgin, IL-IN-WI"
1,1.434375,1.6015625,1.776145833,28100,"Kankakee, IL"
1,1.635416667,1.730833333,1.806666667,24580,"Green Bay, WI"
1,1.567708333,1.6625,1.787916667,29620,"Lansing-East Lansing, MI"
1,1.567708333,1.6625,1.783645833,19340,"Davenport-Moline-Rock Island, IA-IL"
