cbsa_id,cbsa_name,cbsa_dvmt,ldv_regs,miles_per_car
10180,"Abilene, TX",5142032.598119703,138183.0,37.211759754236795
10420,"Akron, OH",18283891.556330785,607207.0,30.111463728729717
10500,"Albany, GA",5611176.3942386,131248.0,42.752471612813906
10540,"Albany-Lebanon, OR",2556893.7294857264,92126.0,27.754311806501168
10580,"Albany-Schenectady-Troy, NY",21800292.470973615,726934.0,29.989369696524875
10740,"Albuquerque, NM",28802384.41163346,681018.0,42.29313235719682
10780,"Alexandria, LA",4846516.3484280985,128050.0,37.848624353206546
10900,"Allentown-Bethlehem-Easton, PA-NJ",19961433.622709643,800188.0,24.94592973489935
11020,"Altoona, PA",3021745.6513841827,125188.0,24.13766216717403
11100,"Amarillo, TX",8338932.09036594,224094.0,37.211759754236795
11180,"Ames, IA",2819571.0707040066,93563.0,30.135535101525246
11260,"Anchorage, AK",8439548.023731269,322187.0,26.194564100138333
11460,"Ann Arbor, MI",8554203.234709533,253490.0,33.745722650635265
11500,"Anniston-Oxford, AL",4397356.314955122,104590.0,42.04375480404553
11540,"Appleton, WI",8472210.952898987,240582.0,35.21548142794967
11700,"Asheville, NC",15860552.154141527,402094.0,39.44488640502352
12020,"Athens-Clarke County, GA",6229676.401061178,145715.0,42.752471612813906
12060,"Atlanta-Sandy Springs-Alpharetta, GA",198395195.9052016,4640555.0,42.7524716128139
12100,"Atlantic City-Hammonton, NJ",6285329.5999712255,205221.0,30.62712685334944
12220,"Auburn-Opelika, AL",5361587.787631102,127524.0,42.04375480404553
12260,"Augusta-Richmond County, GA-SC",20600419.018364165,519567.0,39.64920600878071
12420,"Austin-Round Rock-Georgetown, TX",58047665.96990709,1559928.0,37.211759754236795
12540,"Bakersfield, CA",19508889.829217598,619095.0,31.511948617284258
12580,"Baltimore-Columbia-Towson, MD",77326934.81767009,2166883.0,35.68579144220989
12620,"Bangor, ME",4064724.9629900563,121110.0,33.56225714631373
12700,"Barnstable Town, MA",7569953.658146187,217515.0,34.80198449829293
12940,"Baton Rouge, LA",25638998.774481293,677409.0,37.848624353206546
12980,"Battle Creek, MI",3767338.7309942697,111639.0,33.74572265063526
13020,"Bay City, MI",2992908.141884841,88690.0,33.74572265063526
13140,"Beaumont-Port Arthur, TX",11584951.10548777,311325.0,37.211759754236795
13220,"Beckley, WV",3376077.0079038446,98238.0,34.36630436189504
13380,"Bellingham, WA",4329537.088761733,160540.0,26.96858782086541
13460,"Bend, OR",5158804.952721599,185874.0,27.75431180650117
13740,"Billings, MT",5689951.898352734,202838.0,28.05170578665109
13780,"Binghamton, NY",5927338.941778749,197648.0,29.98936969652488
13820,"Birmingham-Hoover, AL",42088195.0528734,1001057.0,42.04375480404553
13900,"Bismarck, ND",4681437.6475868225,131837.0,35.509285311307316
13980,"Blacksburg-Christiansburg, VA",4090427.863301542,126598.0,32.31036717247936
14010,"Bloomington, IL",3980840.269245142,137507.0,28.950091771656293
14020,"Bloomington, IN",4516792.600794671,114421.0,39.475206481281155
14100,"Bloomsburg-Berwick, PA",2151800.1692170636,89147.0,24.137662167174035
14260,"Boise City, ID",18110177.139771853,593894.0,30.493955385593814
14460,"Boston-Cambridge-Newton, MA-NH",119969863.46292281,3497889.0,34.29779031379292
14500,"Boulder, CO",6817430.338845485,225765.0,30.197020525083538
14540,"Bowling Green, KY",5024740.025444949,143098.0,35.11397801118778
14740,"Bremerton-Silverdale-Port Orchard, WA",6498944.230247788,240982.0,26.96858782086541
14860,"Bridgeport-Stamford-Norwalk, CT",22405645.52956943,775738.0,28.883006285072316
15180,"Brownsville-Harlingen, TX",10616738.328442283,285306.0,37.211759754236795
15260,"Brunswick, GA",4217274.809774415,98644.0,42.752471612813906
15380,"Buffalo-Cheektowaga, NY",26618264.648938518,887590.0,29.98936969652488
15500,"Burlington, NC",5944265.491464234,150698.0,39.44488640502352
15540,"Burlington-South Burlington, VT",6459698.531669397,173070.0,37.32419559524699
15680,"California-Lexington Park, MD",3286732.7634104155,92102.0,35.68579144220989
15940,"Canton-Massillon, OH",11521398.80920521,382625.0,30.11146372872972
15980,"Cape Coral-Fort Myers, FL",21517379.243130416,550064.0,39.11795580719774
16020,"Cape Girardeau, MO-IL",3303932.2532267757,83261.0,39.68163069416384
16060,"Carbondale-Marion, IL",3193658.323882036,110316.0,28.950091771656297
16180,"Carson City, NV",2024808.6625776694,55902.0,36.220683742579325
16220,"Casper, WY",3802153.257606697,80714.0,47.1064902942079
16300,"Cedar Rapids, IA",7612416.979855887,252606.0,30.135535101525246
16540,"Chambersburg-Waynesboro, PA",3839577.920932374,159070.0,24.137662167174035
16580,"Champaign-Urbana, IL",4563924.067618071,157648.0,28.950091771656293
16620,"Charleston, WV",7732006.08577404,224988.0,34.36630436189503
16700,"Charleston-North Charleston, SC",22789138.762205962,670164.0,34.005316254239204
16740,"Charlotte-Concord-Gastonia, NC-SC",79257189.68609273,2057574.0,38.51972744897279
16820,"Charlottesville, VA",5577609.443516423,172626.0,32.31036717247937
16860,"Chattanooga, TN-GA",18649281.550730545,462844.0,40.292801787925406
16940,"Cheyenne, WY",4530231.171593974,96170.0,47.10649029420791
16980,"Chicago-Naperville-Elgin, IL-IN-WI",215332185.1448197,7197235.0,29.918737563080782
17020,"Chico, CA",4505074.222121427,142964.0,31.511948617284258
17140,"Cincinnati, OH-KY-IN",60388962.15594052,1918890.0,31.470778500039355
17300,"Clarksville, TN-KY",8862794.267026136,231917.0,38.215371305364144
17420,"Cleveland, TN",4445870.128763038,113163.0,39.28731236148774
17460,"Cleveland-Elyria, OH",52765943.910894446,1752354.0,30.111463728729724
17660,"Coeur d'Alene, ID",4738272.763635109,155384.0,30.493955385593814
17780,"College Station-Bryan, TX",6064958.663544283,162985.0,37.21175975423679
17820,"Colorado Springs, CO",18637027.324691586,617181.0,30.197020525083545
